TARIH;URUN_ID;URUN_GRUBU;SATIS_ADET;STOK_DISI_SURE;
23.10.2017;SKU0016;8; 17.808 ;NULL;
24.10.2017;SKU0016;8; 13.700 ;NULL;
25.10.2017;SKU0016;8; 18.581 ;NULL;
26.10.2017;SKU0016;8; 15.024 ;NULL;
27.10.2017;SKU0016;8; 12.396 ;NULL;
28.10.2017;SKU0016;8; 8.019 ;NULL;
29.10.2017;SKU0016;8; 5.457 ;NULL;
30.10.2017;SKU0016;8; 11.622 ;26;
31.10.2017;SKU0016;8; 10.181 ;NULL;
1.11.2017;SKU0016;8; 13.343 ;NULL;
2.11.2017;SKU0016;8; 5.732 ;NULL;
3.11.2017;SKU0016;8; 11.306 ;NULL;
4.11.2017;SKU0016;8; 7.239 ;NULL;
5.11.2017;SKU0016;8; 10.827 ;74;
6.11.2017;SKU0016;8; 16.703 ;NULL;
7.11.2017;SKU0016;8; 6.225 ;NULL;
8.11.2017;SKU0016;8; 8.813 ;NULL;
9.11.2017;SKU0016;8; 7.716 ;NULL;
10.11.2017;SKU0016;8; 9.459 ;NULL;
11.11.2017;SKU0016;8; 7.768 ;NULL;
12.11.2017;SKU0016;8; 4.472 ;NULL;
13.11.2017;SKU0016;8; 10.428 ;NULL;
14.11.2017;SKU0016;8; 7.992 ;NULL;
15.11.2017;SKU0016;8; 17.306 ;NULL;
16.11.2017;SKU0016;8; 13.660 ;NULL;
17.11.2017;SKU0016;8; 18.459 ;NULL;
18.11.2017;SKU0016;8; 9.125 ;NULL;
19.11.2017;SKU0016;8; 4.179 ;NULL;
20.11.2017;SKU0016;8; 16.968 ;NULL;
21.11.2017;SKU0016;8; 22.895 ;2;
22.11.2017;SKU0016;8; 14.070 ;NULL;
23.11.2017;SKU0016;8; 14.970 ;NULL;
24.11.2017;SKU0016;8; 15.921 ;NULL;
25.11.2017;SKU0016;8; 9.167 ;NULL;
26.11.2017;SKU0016;8; 3.326 ;NULL;
27.11.2017;SKU0016;8; 15.188 ;NULL;
28.11.2017;SKU0016;8; 7.758 ;NULL;
29.11.2017;SKU0016;8; 5.544 ;NULL;
30.11.2017;SKU0016;8; 7.379 ;NULL;
1.12.2017;SKU0016;8; 14.542 ;NULL;
2.12.2017;SKU0016;8; 9.994 ;NULL;
3.12.2017;SKU0016;8; 3.978 ;NULL;
4.12.2017;SKU0016;8; 13.202 ;NULL;
5.12.2017;SKU0016;8; 11.900 ;NULL;
6.12.2017;SKU0016;8; 8.543 ;NULL;
7.12.2017;SKU0016;8; 5.882 ;NULL;
8.12.2017;SKU0016;8; 7.577 ;NULL;
9.12.2017;SKU0016;8; 5.086 ;NULL;
10.12.2017;SKU0016;8; 2.228 ;NULL;
11.12.2017;SKU0016;8; 10.037 ;NULL;
12.12.2017;SKU0016;8; 8.813 ;NULL;
13.12.2017;SKU0016;8; 12.657 ;NULL;
14.12.2017;SKU0016;8; 9.136 ;NULL;
15.12.2017;SKU0016;8; 23.624 ;NULL;
16.12.2017;SKU0016;8; 14.320 ;NULL;
17.12.2017;SKU0016;8; 5.758 ;NULL;
18.12.2017;SKU0016;8; 17.898 ;NULL;
19.12.2017;SKU0016;8; 10.737 ;NULL;
20.12.2017;SKU0016;8; 7.924 ;NULL;
21.12.2017;SKU0016;8; 15.848 ;NULL;
22.12.2017;SKU0016;8; 14.393 ;NULL;
23.12.2017;SKU0016;8; 6.441 ;NULL;
24.12.2017;SKU0016;8; 3.862 ;NULL;
25.12.2017;SKU0016;8; 20.633 ;NULL;
26.12.2017;SKU0016;8; 16.167 ;NULL;
27.12.2017;SKU0016;8; 12.029 ;NULL;
28.12.2017;SKU0016;8; 7.420 ;NULL;
30.12.2017;SKU0016;8; 5.777 ;NULL;
31.12.2017;SKU0016;8; 1.840 ;NULL;
1.01.2018;SKU0016;8; 6.065 ;NULL;
2.01.2018;SKU0016;8; 10.665 ;NULL;
3.01.2018;SKU0016;8; 8.678 ;NULL;
4.01.2018;SKU0016;8; 7.107 ;NULL;
5.01.2018;SKU0016;8; 18.802 ;NULL;
6.01.2018;SKU0016;8; 2.579 ;NULL;
7.01.2018;SKU0016;8; 2.255 ;NULL;
8.01.2018;SKU0016;8; 9.531 ;NULL;
9.01.2018;SKU0016;8; 5.238 ;NULL;
10.01.2018;SKU0016;8; 8.056 ;NULL;
11.01.2018;SKU0016;8; 5.920 ;NULL;
12.01.2018;SKU0016;8; 6.274 ;NULL;
13.01.2018;SKU0016;8; 3.398 ;NULL;
14.01.2018;SKU0016;8; 1.136 ;NULL;
15.01.2018;SKU0016;8; 17.892 ;11;
16.01.2018;SKU0016;8; 11.249 ;NULL;
17.01.2018;SKU0016;8; 12.002 ;NULL;
18.01.2018;SKU0016;8; 19.415 ;NULL;
19.01.2018;SKU0016;8; 26.516 ;NULL;
20.01.2018;SKU0016;8; 11.375 ;NULL;
21.01.2018;SKU0016;8; 4.994 ;NULL;
22.01.2018;SKU0016;8; 26.096 ;NULL;
23.01.2018;SKU0016;8; 18.058 ;NULL;
24.01.2018;SKU0016;8; 11.872 ;NULL;
25.01.2018;SKU0016;8; 17.262 ;NULL;
26.01.2018;SKU0016;8; 17.578 ;NULL;
27.01.2018;SKU0016;8; 8.525 ;NULL;
28.01.2018;SKU0016;8; 1.397 ;NULL;
29.01.2018;SKU0016;8; 10.391 ;NULL;
30.01.2018;SKU0016;8; 7.440 ;NULL;
31.01.2018;SKU0016;8; 5.703 ;NULL;
1.02.2018;SKU0016;8; 9.371 ;NULL;
2.02.2018;SKU0016;8; 8.902 ;NULL;
3.02.2018;SKU0016;8; 6.094 ;NULL;
4.02.2018;SKU0016;8; 4.334 ;NULL;
5.02.2018;SKU0016;8; 16.108 ;NULL;
6.02.2018;SKU0016;8; 7.799 ;NULL;
7.02.2018;SKU0016;8; 6.315 ;NULL;
8.02.2018;SKU0016;8; 6.963 ;NULL;
9.02.2018;SKU0016;8; 7.244 ;NULL;
10.02.2018;SKU0016;8; 4.211 ;NULL;
11.02.2018;SKU0016;8; 964 ;NULL;
12.02.2018;SKU0016;8; 5.373 ;NULL;
13.02.2018;SKU0016;8; 6.204 ;NULL;
14.02.2018;SKU0016;8; 12.632 ;NULL;
15.02.2018;SKU0016;8; 19.419 ;NULL;
16.02.2018;SKU0016;8; 16.432 ;NULL;
19.02.2018;SKU0016;8; 21.338 ;NULL;
20.02.2018;SKU0016;8; 20.924 ;NULL;
21.02.2018;SKU0016;8; 14.314 ;NULL;
22.02.2018;SKU0016;8; 13.166 ;NULL;
23.02.2018;SKU0016;8; 16.644 ;NULL;
24.02.2018;SKU0016;8; 9.536 ;NULL;
25.02.2018;SKU0016;8; 3.730 ;NULL;
26.02.2018;SKU0016;8; 22.073 ;NULL;
27.02.2018;SKU0016;8; 11.271 ;5;
28.02.2018;SKU0016;8; 5.558 ;7;
1.03.2018;SKU0016;8; 7.029 ;NULL;
2.03.2018;SKU0016;8; 9.437 ;29;
3.03.2018;SKU0016;8; 10.856 ;NULL;
4.03.2018;SKU0016;8; 2.186 ;NULL;
5.03.2018;SKU0016;8; 17.379 ;NULL;
6.03.2018;SKU0016;8; 7.036 ;NULL;
7.03.2018;SKU0016;8; 8.138 ;NULL;
8.03.2018;SKU0016;8; 5.351 ;NULL;
9.03.2018;SKU0016;8; 7.907 ;NULL;
10.03.2018;SKU0016;8; 3.968 ;NULL;
11.03.2018;SKU0016;8; 665 ;NULL;
12.03.2018;SKU0016;8; 7.278 ;NULL;
13.03.2018;SKU0016;8; 5.038 ;NULL;
14.03.2018;SKU0016;8; 7.293 ;NULL;
15.03.2018;SKU0016;8; 13.521 ;NULL;
17.03.2018;SKU0016;8; 8.888 ;NULL;
18.03.2018;SKU0016;8; 3.112 ;NULL;
19.03.2018;SKU0016;8; 16.391 ;NULL;
20.03.2018;SKU0016;8; 13.944 ;NULL;
21.03.2018;SKU0016;8; 12.604 ;NULL;
22.03.2018;SKU0016;8; 10.715 ;NULL;
23.03.2018;SKU0016;8; 10.536 ;NULL;
24.03.2018;SKU0016;8; 6.527 ;NULL;
25.03.2018;SKU0016;8; 3.273 ;NULL;
26.03.2018;SKU0016;8; 19.011 ;NULL;
27.03.2018;SKU0016;8; 8.832 ;NULL;
28.03.2018;SKU0016;8; 7.544 ;NULL;
29.03.2018;SKU0016;8; 6.063 ;NULL;
30.03.2018;SKU0016;8; 9.454 ;NULL;
31.03.2018;SKU0016;8; 4.361 ;NULL;
1.04.2018;SKU0016;8; 1.772 ;NULL;
2.04.2018;SKU0016;8; 9.914 ;NULL;
3.04.2018;SKU0016;8; 10.419 ;NULL;
4.04.2018;SKU0016;8; 8.369 ;NULL;
5.04.2018;SKU0016;8; 15.246 ;NULL;
6.04.2018;SKU0016;8; 9.316 ;NULL;
7.04.2018;SKU0016;8; 3.645 ;NULL;
8.04.2018;SKU0016;8; 1.794 ;NULL;
9.04.2018;SKU0016;8; 4.142 ;NULL;
10.04.2018;SKU0016;8; 6.150 ;NULL;
11.04.2018;SKU0016;8; 8.009 ;NULL;
12.04.2018;SKU0016;8; 9.940 ;NULL;
13.04.2018;SKU0016;8; 10.889 ;NULL;
14.04.2018;SKU0016;8; 4.912 ;NULL;
15.04.2018;SKU0016;8; 5.267 ;NULL;
16.04.2018;SKU0016;8; 18.974 ;NULL;
17.04.2018;SKU0016;8; 20.499 ;NULL;
18.04.2018;SKU0016;8; 15.138 ;NULL;
19.04.2018;SKU0016;8; 8.992 ;NULL;
20.04.2018;SKU0016;8; 17.021 ;NULL;
21.04.2018;SKU0016;8; 12.518 ;NULL;
22.04.2018;SKU0016;8; 4.044 ;NULL;
23.04.2018;SKU0016;8; 9.542 ;NULL;
24.04.2018;SKU0016;8; 16.071 ;NULL;
25.04.2018;SKU0016;8; 14.542 ;NULL;
26.04.2018;SKU0016;8; 15.933 ;NULL;
27.04.2018;SKU0016;8; 8.579 ;NULL;
28.04.2018;SKU0016;8; 5.463 ;NULL;
29.04.2018;SKU0016;8; 1.744 ;NULL;
30.04.2018;SKU0016;8; 8.586 ;NULL;
1.05.2018;SKU0016;8; 8.217 ;NULL;
2.05.2018;SKU0016;8; 9.140 ;NULL;
3.05.2018;SKU0016;8; 10.517 ;NULL;
4.05.2018;SKU0016;8; 12.017 ;NULL;
5.05.2018;SKU0016;8; 11.019 ;NULL;
6.05.2018;SKU0016;8; 2.326 ;NULL;
7.05.2018;SKU0016;8; 7.146 ;NULL;
8.05.2018;SKU0016;8; 5.519 ;NULL;
9.05.2018;SKU0016;8; 6.874 ;NULL;
10.05.2018;SKU0016;8; 6.810 ;NULL;
11.05.2018;SKU0016;8; 7.869 ;NULL;
12.05.2018;SKU0016;8; 7.650 ;NULL;
13.05.2018;SKU0016;8; 1.574 ;NULL;
14.05.2018;SKU0016;8; 11.513 ;NULL;
15.05.2018;SKU0016;8; 20.608 ;NULL;
16.05.2018;SKU0016;8; 12.858 ;NULL;
17.05.2018;SKU0016;8; 13.424 ;NULL;
18.05.2018;SKU0016;8; 13.266 ;NULL;
19.05.2018;SKU0016;8; 7.202 ;NULL;
20.05.2018;SKU0016;8; 3.836 ;NULL;
21.05.2018;SKU0016;8; 22.294 ;NULL;
22.05.2018;SKU0016;8; 18.922 ;NULL;
23.05.2018;SKU0016;8; 9.700 ;NULL;
24.05.2018;SKU0016;8; 12.579 ;NULL;
25.05.2018;SKU0016;8; 21.065 ;NULL;
26.05.2018;SKU0016;8; 6.606 ;NULL;
27.05.2018;SKU0016;8; 2.738 ;NULL;
28.05.2018;SKU0016;8; 10.186 ;NULL;
29.05.2018;SKU0016;8; 5.486 ;NULL;
30.05.2018;SKU0016;8; 5.130 ;NULL;
31.05.2018;SKU0016;8; 6.819 ;NULL;
1.06.2018;SKU0016;8; 10.048 ;NULL;
2.06.2018;SKU0016;8; 8.576 ;NULL;
3.06.2018;SKU0016;8; 4.250 ;NULL;
4.06.2018;SKU0016;8; 14.966 ;NULL;
